tree_dbh,health,spc_common,sidewalk
10,Fair,American linden,NoDamage
9,Fair,honeylocust,NoDamage
6,Good,honeylocust,NoDamage
13,Good,honeylocust,NoDamage
3,Fair,Sophora,NoDamage
3,Good,Sophora,NoDamage
8,Good,Sophora,Damage
2,Good,Sophora,NoDamage
2,Good,American linden,NoDamage
2,Poor,ginkgo,Damage
3,Fair,ginkgo,Damage
17,Good,honeylocust,Damage
38,Good,honeylocust,NoDamage
12,Good,Sophora,Damage
2,Poor,American linden,NoDamage
3,Good,honeylocust,NoDamage
9,Good,honeylocust,NoDamage
15,Good,ginkgo,Damage
12,Good,honeylocust,NoDamage
11,Good,honeylocust,NoDamage
13,Good,ginkgo,Damage
11,Good,honeylocust,Damage
6,Fair,ginkgo,NoDamage
11,Good,honeylocust,Damage
8,Good,Sophora,Damage
3,Good,white oak,NoDamage
10,Good,Sophora,Damage
3,Good,white oak,NoDamage
11,Good,sweetgum,Damage
3,Good,sweetgum,NoDamage
7,Good,sweetgum,NoDamage
7,Good,Sophora,Damage
4,Good,white oak,Damage
4,Good,white oak,Damage
7,Good,ginkgo,NoDamage
8,Good,honeylocust,Damage
16,Fair,honeylocust,Damage
4,Good,honeylocust,NoDamage
4,Good,honeylocust,NoDamage
4,Fair,honeylocust,Damage
9,Good,honeylocust,NoDamage
11,Good,ginkgo,Damage
2,Good,honeylocust,Damage
7,Good,ginkgo,Damage
13,Good,ginkgo,Damage
8,Good,American linden,NoDamage
5,Good,American linden,NoDamage
25,Fair,pin oak,NoDamage
2,Good,pin oak,NoDamage
9,Good,pin oak,Damage
25,Good,pin oak,Damage
21,Good,pin oak,NoDamage
21,Good,pin oak,NoDamage
4,Good,pin oak,NoDamage
6,Good,Sophora,Damage
14,Good,Sophora,Damage
10,Good,Sophora,NoDamage
4,Fair,Sophora,NoDamage
6,Fair,Sophora,NoDamage
2,Good,sweetgum,Damage
13,Good,Norway maple,Damage
18,Good,Norway maple,NoDamage
11,Good,Norway maple,NoDamage
2,Fair,honeylocust,Damage
2,Good,honeylocust,Damage
12,Good,honeylocust,NoDamage
6,Good,honeylocust,NoDamage
5,Good,honeylocust,NoDamage
4,Good,American linden,NoDamage
7,Good,honeylocust,Damage
9,Good,ginkgo,NoDamage
3,Fair,ginkgo,NoDamage
5,Good,honeylocust,NoDamage
12,Good,American linden,Damage
8,Good,American linden,Damage
17,Fair,crab apple,NoDamage
4,Good,honeylocust,NoDamage
8,Good,honeylocust,NoDamage
2,Fair,ginkgo,NoDamage
10,Good,honeylocust,NoDamage
21,Good,Norway maple,Damage
22,Fair,Norway maple,Damage
13,Fair,Norway maple,NoDamage
12,Good,Norway maple,Damage
6,Fair,Norway maple,Damage
8,Good,Norway maple,NoDamage
21,Good,London planetree,Damage
18,Good,London planetree,Damage
12,Good,Norway maple,NoDamage
8,Good,Norway maple,NoDamage
34,Good,Norway maple,Damage
15,Good,Norway maple,NoDamage
17,Fair,Norway maple,NoDamage
4,Good,Norway maple,NoDamage
8,Poor,Norway maple,Damage
11,Poor,Norway maple,Damage
11,Good,Norway maple,Damage
11,Fair,Norway maple,Damage
16,Poor,Norway maple,NoDamage
8,Fair,Amur maple,NoDamage
16,Good,London planetree,Damage
7,Fair,Norway maple,NoDamage
7,Poor,Norway maple,NoDamage
14,Good,Norway maple,NoDamage
8,Good,Norway maple,Damage
19,Good,Norway maple,NoDamage
11,Good,Norway maple,Damage
22,Good,Norway maple,NoDamage
13,Good,Norway maple,Damage
20,Fair,Norway maple,NoDamage
3,Fair,Norway maple,NoDamage
12,Good,Norway maple,Damage
9,Good,American linden,NoDamage
21,Fair,honeylocust,Damage
8,Good,ginkgo,Damage
25,Good,ginkgo,Damage
